2026-02-09 01:48:16 | [SP500] | M5 | candle=2026-02-09 01:45:00 | O=6953.9 H=6956.65 L=6953.02 C=6955.84 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 01:48:16 | EURUSD | M5 | candle=2026-02-09 01:45:00 | O=1.1820599999999999 H=1.18228 L=1.18187 C=1.18189 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 01:50:06 | [SP500] | M5 | candle=2026-02-09 01:50:00 | O=6956.15 H=6957.34 L=6956.15 C=6956.9 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 01:50:06 | EURUSD | M5 | candle=2026-02-09 01:50:00 | O=1.18225 H=1.18227 L=1.18219 C=1.18226 | bull_eng=False | bear_eng=False | hammer=True | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 01:55:07 | [SP500] | M5 | candle=2026-02-09 01:55:00 | O=6954.4 H=6954.9 L=6954.27 C=6954.77 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 01:55:07 | EURUSD | M5 | candle=2026-02-09 01:55:00 | O=1.18225 H=1.18226 L=1.18224 C=1.18226 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:00:08 | [SP500] | M5 | candle=2026-02-09 02:00:00 | O=6951.9 H=6954.65 L=6951.65 C=6954.65 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=0.1 | sl=6945.9 | tp=6972.15
2026-02-09 02:00:08 | EURUSD | M5 | candle=2026-02-09 02:00:00 | O=1.18265 H=1.18265 L=1.18255 C=1.1825700000000001 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:03:47 | [SP500] | M5 | candle=2026-02-09 01:55:00 | O=6954.4 H=6955.9 L=6950.52 C=6952.65 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:03:47 | EURUSD | M5 | candle=2026-02-09 01:55:00 | O=1.18225 H=1.18274 L=1.18221 C=1.18265 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:05:07 | [SP500] | M5 | candle=2026-02-09 02:00:00 | O=6951.9 H=6959.15 L=6951.65 C=6958.96 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=True | short_sig=False | action=BUY | lots=0.1 | sl=6945.9 | tp=6985.080000000001
2026-02-09 02:05:07 | EURUSD | M5 | candle=2026-02-09 02:00:00 | O=1.18265 H=1.18319 L=1.18244 C=1.18265 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 02:10:08 | [SP500] | M5 | candle=2026-02-09 02:05:00 | O=6959.02 H=6959.21 L=6956.21 C=6958.9 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
